gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
730752955	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p06869368	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave verschaffeltii Lem. ex Jacobi	Agave verschaffeltii Lem. ex Jacobi	Lem. ex Jacobi	MX			PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e													2766744	2766741	PRESERVED_SPECIMEN	MNHN	P	P06869368				CC_BY_4_0		Diguet, L.			2024-01-31T19:23:14.085Z	StillImage	CONTINENT_DERIVED_FROM_COUNTRY
4508781400	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:103455980	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave potatorum Zucc.	Zucc.	MX	Mpio. San Francisco Telixtlahuaca. 3 km al NO de San Sebastián Sedas, terraceria a El Parián, cerca de la estación de FC La Escondida.	Oaxaca	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	17.360642	-96.977042			1706.0				2019-11-15	15	11	2019	2766741	2766741	PRESERVED_SPECIMEN	MO	Tropicos	103455980	García-Mendoza 11470		2019-01-01T00:00:00	CC_BY_4_0	Missouri Botanical Garden	Abisaí J. García-Mendoza;Sonia Franco;Daniel Sandoval Gutiérrez;César Flores;Levi Vázquez			2024-02-07T23:19:03.901Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
438862507	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p01792251	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave scolymus Karw. ex Salm-Dyck	Agave scolymus Karw. ex Salm-Dyck	Karw. ex Salm-Dyck	FR		06 Alpes-Maritimes	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e									1871-06-20	20	6	1871	2766742	2766741	PRESERVED_SPECIMEN	MNHN	P	P01792251				CC_BY_4_0		Thuret, G.			2024-01-31T19:22:29.263Z	StillImage	
438502551	b5cdf794-8fa4-4a85-8b26-755d087bf531	http://coldb.mnhn.fr/catalognumber/mnhn/p/p02193217	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave scolymus Karw. ex Salm-Dyck	Agave scolymus Karw. ex Salm-Dyck	Karw. ex Salm-Dyck	FR		06 Alpes-Maritimes	PRESENT		2cd829bb-b713-433d-99cf-64bef11e5b3e									1871-06-20	20	6	1871	2766742	2766741	PRESERVED_SPECIMEN	MNHN	P	P02193217				CC_BY_4_0		Thuret, G.			2024-01-31T19:23:44.667Z	StillImage	
4168656303	d9bceb64-0334-43e8-868e-72d4cd506ca1	d10b675a5fa9cb533b995b34b8e1dd2e	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	Cerro del Muerto, al SW de San Simón	Puebla	PRESENT		ff90b050-c256-11db-b71b-b8a03c50a862	18.043613	-97.495567	5470.0		0.0	0.0	0.0	0.0	1983-12-10	10	12	1983	2766741	2766741	PRESERVED_SPECIMEN	CP	CHAPA	NO DISPONIBLE		Tenorio L., P.; C. Romero de T.		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	P. Tenorio L.; C. Romero de T.			2024-01-25T01:03:49.540Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION
4168508308	bf4cf2f3-d1d3-42a8-8496-0445f063a92f	69efe1b7329f9e8ee87e983b816399a9	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave (Agave) potatorum	Zucc., 1833	MX	SOLA DE VEGA. Solar del Sr. Luis Calvo Rojas, carretera a Juquila s/n, Agencia Reyes.	Oaxaca	PRESENT	1	ff90b050-c256-11db-b71b-b8a03c50a862	16.685278	-95.312778	100.0		755.0	755.0	0.0	0.0	2004-08-05	5	8	2004	2766741	2766741	PRESERVED_SPECIMEN	STDOM	JEBOax	208		Abisaí Josué García Mendoza		CC_BY_4_0	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	César Chávez Rendón; Roberto Avendaño Rendón; Antonio Sánchez Velasco			2024-01-25T00:06:17.015Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4101779067	bb0366a9-2a7e-44f8-9c9a-e49c23dae2f8	d285d0d2-a2a5-4f69-8a8d-7a5fe3f59e17	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave potatorum	Zucc.	US	Botanical Garden, Washington D.C.	District of Columbia	PRESENT		c4cbb860-e9c7-11da-8113-b8a03c50a862									1897			1897	2766741	2766741	PRESERVED_SPECIMEN	BRIT	NLU	NLU0015869	1131			CC0_1_0	Botanical Research Institute of Texas	J. N. Rose			2024-02-02T17:21:54.176Z	StillImage	TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4061014433	e053ff53-c156-4e2e-b9b5-4462e9625424	urn:catalog:MO:Tropicos:102591542	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave potatorum Zucc.	Zucc.	MX	Mpio. San Cristobal Amatlan, 0.5 km W San Lorenzo Mixtepec.	Oaxaca	PRESENT	1	90fd6680-349f-11d8-aa2d-b8a03c50a862	16.301944	-96.300833			2100.0				1996-11-16	16	11	1996	2766741	2766741	PRESERVED_SPECIMEN	WTU	Tropicos	102591542	Hunn OAX-500	E. Hunn		CC_BY_4_0	Missouri Botanical Garden	Eugene Hunn			2024-02-07T16:39:02.155Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4053211306	d8cd16ba-bb74-4420-821e-083f2bac17c2	AM884839	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave potatorum		MX	Oaxaca		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													2766741	2766741	PRESERVED_SPECIMEN			Garcia-Mendoza 6105 (MEXU)				CC_BY_4_0					2024-02-03T12:39:04.395Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4042577196	780977d6-1cdb-4804-904f-9303cce8b4a1	6566117	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	Agave	Agave potatorum		SPECIES	Agave potatorum Zucc.	Agave potatorum		MX			PRESENT		a2fa5b68-3ebf-4845-abc5-f456d251386f									1985			1985	2766741	2766741	PRESERVED_SPECIMEN	PE		110054				CC_BY_NC_4_0		B.Bartholomew.			2024-01-25T08:54:25.502Z		COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_MISMATCH;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
